,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,score,silent,subsample
271,0.5,0.0029,auc,0.95,0.66,12.0,1.0,binary:logistic,0.713239548088,1,0.85
272,0.55,0.0044,auc,0.9,0.89,11.0,2.0,binary:logistic,0.713553251488,1,0.9
273,0.5,0.0054,auc,1.0,1.17,10.0,1.0,binary:logistic,0.713028657732,1,1.0
274,0.6,0.0047,auc,0.9,0.93,9.0,2.0,binary:logistic,0.713775333699,1,0.85
275,0.55,0.0035,auc,1.0,0.8,8.0,1.0,binary:logistic,0.713930945327,1,0.9
276,0.5,0.002,auc,0.95,0.98,13.0,1.0,binary:logistic,0.711872135232,1,0.95
277,0.6,0.0038,auc,0.95,0.6,9.0,2.0,binary:logistic,0.714042543211,1,0.9
278,0.55,0.003,auc,0.9,1.05,12.0,1.0,binary:logistic,0.711514771429,1,0.85
279,0.5,0.0062,auc,0.9,0.7,10.0,1.0,binary:logistic,0.71412176755,1,0.85
280,0.65,0.0024,auc,0.95,0.67,11.0,2.0,binary:logistic,0.711940477427,1,1.0
281,0.5,0.0051,auc,1.0,0.87,9.0,1.0,binary:logistic,0.714006069277,1,0.95
282,0.6,0.0041,auc,1.0,0.83,10.0,1.0,binary:logistic,0.713782752606,1,0.9
283,0.55,0.0018,auc,0.95,0.55,8.0,2.0,binary:logistic,0.712042883592,1,0.9
284,0.5,0.0048,auc,0.9,0.57,12.0,1.0,binary:logistic,0.712620769178,1,0.95
285,0.55,0.0056,auc,0.9,0.5,11.0,1.0,binary:logistic,0.713734652052,1,0.85
286,0.5,0.0033,auc,0.95,1.09,13.0,2.0,binary:logistic,0.709829644976,1,1.0
287,0.6,0.0028,auc,1.0,0.63,9.0,1.0,binary:logistic,0.713993641734,1,0.85
288,0.55,0.0039,auc,0.9,0.72,11.0,1.0,binary:logistic,0.713455170478,1,0.95
289,0.5,0.0059,auc,0.95,0.76,10.0,2.0,binary:logistic,0.71382779544,1,0.8
290,0.6,0.0022,auc,0.9,1.2,8.0,1.0,binary:logistic,0.712725357663,1,0.85
291,0.65,0.0045,auc,0.95,0.64,10.0,1.0,binary:logistic,0.713790928983,1,0.9
292,0.55,0.0036,auc,1.0,0.96,18.0,2.0,binary:logistic,0.705902318967,1,0.9
293,0.5,0.0007,auc,0.95,0.52,9.0,1.0,binary:logistic,0.703659427569,1,0.8
294,0.5,0.0043,auc,0.9,0.68,8.0,1.0,binary:logistic,0.710718145086,1,0.95
295,0.55,0.0052,auc,0.85,0.44,12.0,2.0,binary:logistic,0.712932422996,1,0.85
296,0.5,0.0031,auc,1.0,0.58,9.0,1.0,binary:logistic,0.714206204857,1,0.8
297,0.65,0.0011,auc,1.0,1.02,13.0,1.0,binary:logistic,0.703166305373,1,1.0
298,0.6,0.0033,auc,0.9,0.82,14.0,2.0,binary:logistic,0.710228649611,1,0.85
299,0.55,0.0041,auc,0.85,0.86,10.0,1.0,binary:logistic,0.714196020993,1,0.9
